Year,Country1,Country2,Whole_count,Fractional_count
1986,CAN,CAN,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,ISR,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,ISR,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,ISR,1,0.1
1986,CAN,USA,1,0.333333333
1986,CAN,USA,1,0.333333333
1986,FRA,GBR,1,1
1986,CAN,USA,1,0.166666667
1986,CAN,USA,1,0.166666667
1986,CAN,USA,1,0.166666667
1986,AUS,JPN,1,1
1986,GBR,USA,1,1
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,GBR,GBR,1,0.333333333
1987,CAN,GBR,1,0.333333333
1987,CAN,GBR,1,0.333333333
1987,JPN,NZL,1,1
1987,AUS,ISR,1,0.166666667
1987,AUS,ISR,1,0.166666667
1987,ISR,NZL,1,0.166666667
1987,AUS,AUS,1,0.166666667
1987,AUS,NZL,1,0.166666667
1987,AUS,NZL,1,0.166666667
1987,GBR,ISR,1,0.333333333
1987,GBR,ISR,1,0.333333333
1987,CAN,GBR,1,0.166666667
1987,CAN,GBR,1,0.166666667
1987,CAN,GBR,1,0.166666667
1987,CAN,CAN,1,0.166666667
1987,CAN,CAN,1,0.166666667
1987,CAN,CAN,1,0.166666667
1987,CAN,USA,1,1
1987,CAN,USA,1,1
1987,GBR,USA,1,0.333333333
1987,GBR,SGP,1,0.333333333
1987,CAN,IND,1,0.333333333
1987,CAN,CAN,1,0.333333333
1987,CAN,IND,1,0.333333333
1987,GBR,GBR,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,ITA,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,ITA,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,ITA,1,0.1
1987,GBR,ITA,1,0.1
1987,CAN,USA,1,1
1987,GBR,ITA,1,1
1987,BRA,CAN,1,0.166666667
1987,BRA,CAN,1,0.166666667
1987,BRA,CAN,1,0.166666667
1987,CAN,USA,1,1
1987,CAN,GBR,1,1
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
